latitude,longitude,name
50.864894,42.96868,SCHWEITZER
50.816346,43.71817,LEGRAND
50.843434,43.83842,SCHUMAN
50.865077,43.20101,BOSSAERT-BASILIEK
50.864456,43.43166,PICARD
50.823075,42.96755,WAXWEILER
50.863632,43.24662,BESME
50.866879,43.10144,GOFFIN
50.837828,42.83771,WESTLANDSHOPPING
50.844356,43.83817,SCHUMAN
50.860915,43.58355,NOORDSTATION
50.836343,42.95116,RENEHENRY
50.892851,43.12731,DIKKEBEUK
50.817464,43.20483,BERVOETS
50.843138,43.75982,TOULOUSE
50.849022,44.59021,KRAAINEM
50.893923,43.97845,MEUDON-PAVILJ.
50.849751,43.74333,SINT-JOOST
50.85969,43.76229,WIJNHEUVELEN
50.866292,43.03465,VALIDA
50.851519,43.94513,PLASKY
50.852427,44.91947,DEUTSCHESCHULE
50.861233,42.92961,KERKPLEIN
50.85008,43.98687,OPAAL
50.871865,43.25596,SPIEGEL
50.861842,43.22192,SIPPELBERG
50.848128,44.2514,VERHEYLEWEGHEN
50.812012,43.18754,VORSTCENTRUM
50.86468,42.8547,ZEVENSTERREN
50.852876,44.37997,POPULIEREN
50.840185,43.82637,FROISSART
50.885545,43.16271,OUDEAFSPANNING
50.855671,44.40572,MARCELTHIRY
50.847115,43.91358,GEUZEN
50.859968,42.96401,COMHAIRE
50.857103,44.41439,JESPERS
50.839797,44.37879,WEGGEVOERDEN
50.86296,43.30756,SIMONIS
50.8588,44.38702,HOFTENBERG
50.840299,44.40293,MALOUPARK
50.845805,43.2306,DELACROIX
50.846731,44.31215,HYMANS
50.842274,44.06462,GEORGESHENRI
50.862575,43.01247,GENOT
50.860617,44.20453,CICERO
50.861682,43.36469,OURTHE
50.841633,43.64862,TROON
50.859742,44.16887,DELOMBAERDE
50.861367,43.36463,OURTHE
50.839898,43.55875,KLEINEZAVEL
50.850757,44.34245,HAAGBEUKEN
50.84056,44.39697,MALOUPARK
50.848351,43.22094,WESTSTATION
50.816555,42.92593,CAMPUSCOOVI
50.841381,44.34303,VOOT
50.839607,43.98226,MERODE
50.834697,44.26884,GROENEHOND
50.803124,44.08998,CALYPSO2000
50.839573,43.86044,NERVIERS
50.854908,44.38909,MARCELTHIRY
50.842347,44.27376,MELARD
50.839431,43.7338,LUXEMBURG
50.85249,44.37386,POPULIEREN
50.847998,43.98087,VICTORHUGO
50.841376,43.5808,KONING
50.841803,42.86873,MOORTEBEEK
50.846998,43.90903,GEUZEN
50.840904,43.50565,KAPELLEKERK
50.848353,44.24614,VERHEYLEWEGHEN
50.845282,43.86558,MICHELANGELO
50.862688,43.26239,VRIJHEID
50.848573,44.14547,MEI
50.888569,43.27578,KINDERZIEKENHUIS
50.845922,43.23329,DELACROIX
50.85153,43.84174,VINCOTTE
50.786148,44.2484,VORSTERIE
50.85886,43.30205,AUTRIQUE
50.84913,43.77145,GUTENBERG
50.8405,43.81885,FROISSART
50.860479,43.31823,VANHUFFEL
50.846876,44.3052,HYMANS
50.816266,42.90209,COOVI
50.862752,43.25697,VRIJHEID
50.850263,43.74759,SINT-JOOST
50.815856,42.9502,CAMPUSCOOVI
50.866943,42.81332,HUNDERENVELD
50.817082,44.00814,CHIREC
50.836154,42.95301,RENEHENRY
50.869753,42.88799,MONNET-PARK
50.817056,43.99788,CHIREC
50.835155,42.80397,APPELBOOM
50.866834,43.08323,GOFFIN
50.848082,44.67057,KONINGINASTRID
50.834966,42.80497,APPELBOOM
50.842438,42.962,PETERBOS
50.85041,44.869,GERGEL
50.818515,42.94711,WAUTERS
50.819628,43.25398,UNION
50.840141,44.89543,HERNALSTEEN
50.828962,42.93893,VANBEETHOVEN
50.821157,43.25978,UNION
50.774171,43.38487,STATIONLINKEBEEK
50.849049,43.77287,GUTENBERG
50.866256,43.03181,VALIDA
50.78918,43.59647,DIRECTOIRE
50.852473,43.88463,DAILLY
